"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa rutteri",-76.08,-5.9,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-73.17,-5.25,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-78.2,-4.58,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-78.17,-4.47,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-78.17,-4.45,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-73.33,-4.17,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-69.95,-4.15,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-73.47,-4.15,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-77.77,-4.02,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-73.37,-3.95,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-73.2,-3.75,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-72.18,-3.53,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.08,-2.37,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-77.82,-0.98,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-75.27,-0.65,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-77.28,-0.5,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.68,0.13,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
