"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa waterhousei",-73.13333333,-3.4,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-74.08333333,-2.366666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-62.11666667,-2.083333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-77.95,-1.533333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-74.78333333,-1.05,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-69,0.116666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-75.33333333,0.466666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-73.65,2.9,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-74.15,5.366666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-74.11666667,5.533333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-75.58333333,6.25,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-75.45,7.183333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-71.7,8.35,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-71.45,8.733333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
