name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa zeledoni,-82.75,8.85,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.7,8.92,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.05,8.97,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.67,8.97,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.08,9.08,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.57,9.1,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.4,9.3,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.52,9.45,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.87,9.82,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.98,9.88,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.13,9.92,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.72,9.93,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.07,10.3,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83.72,10.22,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.82,10.3,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.05,10.35,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.78,11.12,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.05,12.08,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-85.22,12.58,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-85.8,13.07,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-86.1,13.18,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-85.92,13.45,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-84.67,10.03,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
